[1] Total Num: 3000, acc: 4.302183883722061 
[2] Total Num: 3000, acc: 6.355753949177428 
[3] Total Num: 3000, acc: 3.611176319119443 
[4] Total Num: 3000, acc: 3.152764617944265 
[5] Total Num: 3000, acc: 3.447069258911209 
[6] Total Num: 3000, acc: 3.366610209237804 
[7] Total Num: 3000, acc: 3.2706827647122725 
[8] Total Num: 3000, acc: 2.7887009438611514 
[9] Total Num: 3000, acc: 2.8579352572508916 
[10] Total Num: 3000, acc: 2.7596332060133895 
[11] Total Num: 3000, acc: 2.8251274493594845 
[12] Total Num: 3000, acc: 2.8980360278015027 
[13] Total Num: 3000, acc: 2.7134992551413317 
[14] Total Num: 3000, acc: 2.9898643327542183 
[15] Total Num: 3000, acc: 2.7750450337502266 
[16] Total Num: 3000, acc: 2.7676144324500624 
[17] Total Num: 3000, acc: 2.6719617431823934 
